#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:65 out:67 type:b dur:2 cpbdur:2 q:42.71 aq:45.44 tex:2837 mv:4313 misc:2098 imb:26 pmb:475 smb:3099 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:42.76 aq:45.28 tex:3054 mv:4888 misc:1986 imb:23 pmb:462 smb:3115 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:42.78 aq:40.54 tex:50811 mv:20321 misc:2948 imb:1087 pmb:1168 smb:1345 d:t ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:42.78 aq:43.89 tex:10011 mv:8769 misc:2724 imb:64 pmb:846 smb:2690 d:t ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:42.78 aq:45.46 tex:3139 mv:4845 misc:2080 imb:31 pmb:496 smb:3073 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:42.78 aq:45.56 tex:3794 mv:4880 misc:2006 imb:15 pmb:489 smb:3096 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:42.65 aq:40.78 tex:56462 mv:20580 misc:2918 imb:1136 pmb:1163 smb:1301 d:t ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:42.71 aq:43.35 tex:9563 mv:8633 misc:2772 imb:92 pmb:814 smb:2694 d:t ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:42.74 aq:45.24 tex:3644 mv:5039 misc:2197 imb:36 pmb:530 smb:3034 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:42.68 aq:45.92 tex:3611 mv:5197 misc:2040 imb:27 pmb:488 smb:3085 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:42.47 aq:40.83 tex:56611 mv:21099 misc:2786 imb:1115 pmb:1194 smb:1291 d:t ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:42.56 aq:43.38 tex:10989 mv:9246 misc:2781 imb:91 pmb:908 smb:2601 d:t ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:42.60 aq:44.69 tex:3757 mv:5453 misc:2254 imb:45 pmb:565 smb:2990 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:42.52 aq:44.97 tex:4261 mv:6122 misc:2297 imb:33 pmb:576 smb:2991 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:42.27 aq:40.66 tex:61617 mv:21616 misc:2551 imb:1201 pmb:1168 smb:1231 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:42.37 aq:43.59 tex:13157 mv:14397 misc:3102 imb:103 pmb:1194 smb:2303 d:t ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:42.42 aq:45.13 tex:4817 mv:6723 misc:2372 imb:44 pmb:632 smb:2924 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:42.32 aq:45.05 tex:4307 mv:6096 misc:2205 imb:40 pmb:570 smb:2990 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:42.08 aq:40.05 tex:61782 mv:21174 misc:2548 imb:1219 pmb:1154 smb:1227 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:42.17 aq:43.26 tex:14198 mv:14990 misc:3092 imb:113 pmb:1258 smb:2229 d:t ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:42.22 aq:44.91 tex:5141 mv:7321 misc:2394 imb:51 pmb:647 smb:2902 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:42.13 aq:44.44 tex:5269 mv:7095 misc:2356 imb:48 pmb:663 smb:2889 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:41.93 aq:40.47 tex:65794 mv:21354 misc:2556 imb:1211 pmb:1121 smb:1268 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:42.01 aq:43.14 tex:17001 mv:15920 misc:3111 imb:138 pmb:1281 smb:2181 d:t ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:42.04 aq:44.70 tex:5919 mv:7539 misc:2422 imb:59 pmb:690 smb:2851 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:41.97 aq:44.51 tex:6885 mv:8439 misc:2492 imb:61 pmb:754 smb:2785 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:41.81 aq:40.12 tex:69369 mv:21106 misc:2501 imb:1254 pmb:1102 smb:1244 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:41.87 aq:43.27 tex:16962 mv:16413 misc:3089 imb:169 pmb:1254 smb:2177 d:t ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:41.90 aq:44.62 tex:7074 mv:8379 misc:2267 imb:63 pmb:722 smb:2815 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:41.84 aq:44.83 tex:7204 mv:8792 misc:2420 imb:76 pmb:745 smb:2779 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:41.73 aq:39.65 tex:72566 mv:21179 misc:2407 imb:1343 pmb:1055 smb:1202 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:41.77 aq:42.32 tex:18308 mv:16626 misc:3050 imb:195 pmb:1280 smb:2125 d:t ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:41.79 aq:44.83 tex:8299 mv:8632 misc:2405 imb:70 pmb:767 smb:2763 d:s ref:0 ;
